no,name,priority,notes,list_price
102,Titan 3D Quantum,3,Secondary sales focus,1999
21,Osaki Oasis,3,Secondary sales focus,2499
83,Titan Rejuv 4D,3,Secondary sales focus,2999
23,Osaki 4D Helix LE,3,Secondary sales focus,3499
53,Titan TP-Epic 4D,2,Secondary sales focus,3999
77,Osaki JP-Nexus 4D Made in Japan,3,Secondary sales focus,6999
68,Osaki 4D+3D Manhattan Duo,3,Secondary sales focus,7999
47,Osaki OS-Trion Flex Duo 4D+3D,3,Secondary sales focus,9999
57,Osaki Platinum - Escape Duo 4D,2,Secondary sales focus,15999
30,Osaki OS-Champ,1,Primary sales focus,1299
14,Osaki Signature II,1,Primary sales focus,1999
20,Osaki Nova II 3D+,1,Primary sales focus,1999
71,OS-3D AI Vito,2,Primary sales focus,1999
7,Titan Malibu Sync,1,Primary sales focus,2299
26,Ventura 3D,1,Primary sales focus,2299
52,Grande XL-Big and Tall,1,Primary sales focus,2499
16,Titan Pro 4D Astro,1,Primary sales focus,2799
4,Titan Pro Cura 4D,1,Primary sales focus,2999
17,Osaki Virtus Duo 4D,1,Primary sales focus,3999
42,Osaki aI 4D Yoga Flex,3,Primary sales focus,3999
6,Osaki Pro 4D Epic LE,2,Primary sales focus,4999
94,Osaki OS-Highpointe 4D,1,Primary sales focus,4999
43,Osaki 5D+4D Kairos Duo,2,Primary sales focus,5999
72,Osaki 4D Bravo Duo Mech 4D+3D,1,Primary sales focus,5999
18,Osaki Duke XL 4D,2,Primary sales focus,6999
38,Osaki 4D+3D Bravo Duo Flex,2,Primary sales focus,6999
87,Osaki 4D Maestro LE 2.0,2,Primary sales focus,7999
88,Osaki OP-4D Master,1,Primary sales focus,7999
90,Osaki OP-AI Xrest 4D,1,Primary sales focus,8499
41,Osaki AI Apex 5D+4D Duo,3,Primary sales focus,12999
81,Osaki OS-Pro 4D+3D DuoMax,2,Primary sales focus,12999
54,Osaki OS-Pro 4D+3D DuoMax SE,2,Primary sales focus,13999
29,Pinnacle 5D Duoflex AI,2,Primary sales focus,16999
1,Titan Pro 3D Nexa,5,Not a primary sales focus,
2,Osaki Platinum - Vanguard Duo 4D,3,Not a primary sales focus,
3,Titan Pro-3D Prestige LE,5,Not a primary sales focus,
5,Titan Pro 4D Aria,5,Not a primary sales focus,
11,Osaki 4D Emperor II,5,Not a primary sales focus,
12,Kanji 4D Shogun Duo,5,Not a primary sales focus,
13,Osaki Solo Flex 4D,5,Not a primary sales focus,
15,Titan Ignite Sync 3D+2D,5,Not a primary sales focus,
19,Titan Gemini,5,Not a primary sales focus,
22,Osaki Hypnos 4D Pro AI,4,Not a primary sales focus,
24,Titan Nido 3D,5,Not a primary sales focus,
25,Tesoro 3D,5,Not a primary sales focus,
27,Titan Forge,5,Not a primary sales focus,
28,Titan 4D Plantaris,5,Not a primary sales focus,
32,Titan eCabin 3D,,Not a primary sales focus,
33,Titan 4D Ion,5,Not a primary sales focus,
34,Amamedic Haven 4D,5,Not a primary sales focus,
35,Titan TI Reflex 3D,5,Not a primary sales focus,
36,4D Panorama,5,Not a primary sales focus,
37,Osaki Platinum - Sapphire 4D+,4,Not a primary sales focus,
39,Titan Pro 4D Endor,5,Not a primary sales focus,
40,Osaki Vibe 4D,5,Not a primary sales focus,
44,Osaki Vista 4D,5,Not a primary sales focus,
45,Osaki Somnus 4D Duoflex AI,4,Not a primary sales focus,
46,AmaMedic 3D Astoria,5,Not a primary sales focus,
48,Titan Axiom LE,5,Not a primary sales focus,
49,Osaki OS-4D Achilles,5,Not a primary sales focus,
50,OS-3D Champ II,5,Not a primary sales focus,
51,Arcadia 3D LE,5,Not a primary sales focus,
55,Titan 4D Advent,5,Not a primary sales focus,
56,Ultra 2,5,Not a primary sales focus,
58,Osaki Platinum - Horizon 4D Pro,4,Not a primary sales focus,
59,3D Drit,5,Not a primary sales focus,
60,4D Zion,5,Not a primary sales focus,
64,Ti-Regal,5,Not a primary sales focus,
67,Ti-Royale,5,Not a primary sales focus,
69,Ti-H7,5,Not a primary sales focus,
70,Osaki AI Monarch LE,5,Not a primary sales focus,
73,Sonoma 4D,5,Not a primary sales focus,
75,Osaki Ziva,4,Not a primary sales focus,
76,AmaMedic AI Revive 4D,5,Not a primary sales focus,
78,TP-Ronin 4D,5,Not a primary sales focus,
79,TP-4D 8500 Max,5,Not a primary sales focus,
82,Osaki Platinum 4D Avalon,4,Not a primary sales focus,
89,OSaki OS-3D Tao,5,Not a primary sales focus,
92,Osaki OP-4D Ultima,4,Not a primary sales focus,
96,Osaki 3D Dreamer V2,5,Not a primary sales focus,
97,AmaMedic Q7,5,Not a primary sales focus,
98,Osaki OS-3D Hamilton LE,5,Not a primary sales focus,
103,Titan Pro-Acro 3D,5,Not a primary sales focus,
107,Osaki Pro OS-4D Paragon,5,Not a primary sales focus,
108,Osaki OS-Pro Maestro LE,5,Not a primary sales focus,
110,AmaMedic Hilux 4D,5,Not a primary sales focus,
111,Titan TP-Cosmo,2,Not a primary sales focus,
113,Ador 3D Allure,5,Not a primary sales focus,
31,OS-Pinnacle LE,5,Discontinued,
61,Osaki 4D+3D Flagship Duo,5,Discontinued,
74,Titan Telos,5,Discontinued,
84,Osaki Platinum Solis Duo 4D+,5,Discontinued,
85,Osaki aI Vivo 4D+2D,5,Discontinued,
91,Titan Premium Fleetwood II 4D,5,Discontinued,
93,Osaki OS-Atai,5,Discontinued,
95,Osaki OS-3D Belmont,5,Discontinued,
99,Titan Pro-Vigor 4D,5,Discontinued,
100,Osaki OS-Pro 3D Tecno,5,Discontinued,
101,Osaki OS-Pro Soho II,5,Discontinued,
104,Osaki OS-4000XT,5,Discontinued,
105,Osaki OS-Pro 3D Admiral II,5,Discontinued,
106,Osaki OS-Pro Maestro 4D,5,Discontinued,
109,Osaki OS-Monarch,5,Discontinued,
112,Titan 3D Prestige,5,Discontinued,
8,Osaki Pro Quest 3D,5,Costco ,
9,Osaki Pro Vivant 5D,5,Costco ,
10,Osaki 3D 4000LE,5,Costco ,
62,Osaki Atlas XL,5,Costco ,
63,Osaki 4D + 3D Orion Duo Mech,5,Costco ,
65,Osaki AI Series Grand Duo 4D+4D,5,Costco ,
66,AI 3D Envy,5,Costco ,
80,OS-3D Aspire,5,Costco ,
86,Osaki OS-AI VERA 4D+,5,Costco ,
